generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
62,uci_heart_test/62/20251119-200221,nan,nan,0.7995642701525054,0.015250544662309368,0.7130827886710239,0.7874727668845315,62_83,62_13,0.8059006211180124,0.013975155279503106,0.7378571428571428,0.8045031055900622,62_83,62_62,0.8102189781021898,0.01824817518248175,0.6548540145985402,0.7474452554744525,62_83,62_13,0.8853904008865356,0.015113350003957748,0.7995088058337569,0.884256899356842,62_83,62_62
63,uci_heart_test/63/20251119-200234,nan,nan,0.7995642701525054,0.4466230936819172,0.7355119825708062,0.7867102396514161,63_16,63_58,0.8059006211180124,0.5248447204968945,0.763027950310559,0.8046583850931679,63_16,62_62,0.8102189781021898,0.26277372262773724,0.6708394160583941,0.7445255474452555,63_16,63_58,0.8853904008865356,0.51259446144104,0.831045326590538,0.8843828439712524,63_16,62_62
64,uci_heart_test/64/20251119-200247,nan,nan,0.7995642701525054,0.4466230936819172,0.6934531590413944,0.785838779956427,64_12,64_83,0.8059006211180124,0.5248447204968945,0.7243167701863353,0.8046583850931677,64_12,62_62,0.8102189781021898,0.26277372262773724,0.6209124087591241,0.7416058394160585,64_12,64_83,0.8853904008865356,0.51259446144104,0.7829848730564117,0.8843828439712524,64_12,62_62
65,uci_heart_test/65/20251119-200258,nan,nan,0.8006535947712419,0.4466230936819172,0.7013943355119825,0.7840958605664488,65_17,65_28,0.8059006211180124,0.5248447204968945,0.7309782608695652,0.8046583850931677,65_17,62_62,0.8138686131386861,0.26277372262773724,0.6318613138686131,0.7357664233576643,65_17,65_28,0.8853904008865356,0.51259446144104,0.7906423079967498,0.8843828439712524,65_17,62_62
66,uci_heart_test/66/20251119-200310,nan,nan,0.8006535947712419,0.4466230936819172,0.7334531590413943,0.7835511982570806,66_22,66_38,0.8059006211180124,0.5248447204968945,0.7586801242236024,0.8046583850931677,66_22,62_62,0.8102189781021898,0.26277372262773724,0.6741605839416058,0.733941605839416,66_22,66_24,0.8853904008865356,0.51259446144104,0.8259949505329132,0.8843828439712524,66_22,62_62
67,uci_heart_test/67/20251119-200323,nan,nan,0.7919389978213508,0.4466230936819172,0.7161437908496731,0.7857298474945533,67_19,67_20,0.8059006211180124,0.5248447204968945,0.7468944099378882,0.8046583850931677,67_19,62_62,0.8175182481751825,0.26277372262773724,0.6438686131386863,0.7412408759124088,67_19,67_58,0.8853904008865356,0.51259446144104,0.8111586749553681,0.8843828439712524,67_19,62_62
68,uci_heart_test/68/20251119-200336,nan,nan,0.8006535947712419,0.4466230936819172,0.7059368191721132,0.7857298474945533,68_32,68_95,0.8059006211180124,0.5248447204968945,0.7353416149068324,0.8054347826086957,68_32,62_62,0.8102189781021898,0.26277372262773724,0.6368248175182482,0.7394160583941606,68_32,68_89,0.8853904008865356,0.51259446144104,0.7966624563932418,0.8850125670433044,68_32,62_62
69,uci_heart_test/69/20251119-200348,nan,nan,0.8006535947712419,0.4466230936819172,0.7239651416122004,0.7833333333333332,69_12,69_30,0.8059006211180124,0.5248447204968945,0.7535248447204971,0.8059006211180124,69_12,62_62,0.8102189781021898,0.26277372262773724,0.6544890510948908,0.7302919708029197,69_12,69_30,0.8853904008865356,0.51259446144104,0.8193576735258102,0.8853904008865356,69_12,62_62
70,uci_heart_test/70/20251119-200400,nan,nan,0.7886710239651417,0.4466230936819172,0.7305228758169936,0.7864923747276688,70_16,70_51,0.8059006211180124,0.5248447204968945,0.7609937888198758,0.8059006211180124,70_16,62_62,0.8065693430656934,0.26277372262773724,0.658905109489051,0.7408759124087592,70_16,70_60,0.8853904008865356,0.51259446144104,0.827896711230278,0.8853904008865356,70_16,62_62
71,uci_heart_test/71/20251119-200411,nan,nan,0.789760348583878,0.4466230936819172,0.7032244008714597,0.7863834422657952,71_11,71_26,0.8059006211180124,0.5248447204968945,0.7352018633540374,0.8059006211180124,71_11,62_62,0.8065693430656934,0.26277372262773724,0.628065693430657,0.7405109489051095,71_11,71_36,0.8853904008865356,0.51259446144104,0.7977581745386124,0.8853904008865356,71_11,62_62
72,uci_heart_test/72/20251119-200423,nan,nan,0.7941176470588235,0.4455337690631808,0.7183877995642702,0.7874727668845315,72_74,72_34,0.8059006211180124,0.4937888198757764,0.7465062111801244,0.8059006211180124,72_61,62_62,0.8065693430656934,0.2591240875912409,0.6522992700729927,0.7441605839416059,72_74,72_49,0.8853904008865356,0.51259446144104,0.812216609120369,0.8853904008865356,72_28,62_62
73,uci_heart_test/73/20251119-200435,nan,nan,0.8006535947712419,0.4466230936819172,0.7251089324618737,0.7827886710239651,73_13,73_85,0.8059006211180124,0.5248447204968945,0.7514440993788821,0.8059006211180124,73_13,62_62,0.8102189781021898,0.26277372262773724,0.6632116788321167,0.7284671532846716,73_13,73_85,0.8853904008865356,0.51259446144104,0.8167632138729095,0.8853904008865356,73_13,62_62
74,uci_heart_test/74/20251119-200447,nan,nan,0.8006535947712419,0.4466230936819172,0.6995098039215688,0.7821350762527233,74_13,74_50,0.8059006211180124,0.5248447204968945,0.7334161490683232,0.8059006211180124,74_13,62_62,0.8102189781021898,0.26277372262773724,0.6198175182481752,0.7262773722627738,74_13,74_50,0.8853904008865356,0.51259446144104,0.7946347516775131,0.8853904008865356,74_13,62_62
75,uci_heart_test/75/20251119-200459,nan,nan,0.8006535947712419,0.4466230936819172,0.7076470588235295,0.7863834422657952,75_17,75_48,0.8059006211180124,0.5248447204968945,0.744642857142857,0.8059006211180124,75_17,62_62,0.8102189781021898,0.26277372262773724,0.6206934306569343,0.7405109489051095,75_17,75_48,0.8853904008865356,0.51259446144104,0.8068513739109039,0.8853904008865356,75_17,62_62
76,uci_heart_test/76/20251119-200511,nan,nan,0.7919389978213508,0.4357298474945534,0.6939215686274509,0.7864923747276688,76_40,76_64,0.8059006211180124,0.4798136645962733,0.7268788819875778,0.8059006211180124,76_40,62_62,0.8065693430656934,0.26277372262773724,0.6164598540145986,0.7408759124087592,76_13,76_76,0.8853904008865356,0.492443323135376,0.7866372668743133,0.8853904008865356,76_40,62_62
77,uci_heart_test/77/20251119-200522,nan,nan,0.8006535947712419,0.4466230936819172,0.728442265795207,0.787037037037037,77_13,77_29,0.8059006211180124,0.5248447204968945,0.7537422360248449,0.8059006211180124,77_13,62_62,0.8248175182481752,0.26277372262773724,0.6689781021897809,0.7427007299270073,77_13,77_44,0.8853904008865356,0.51259446144104,0.8205163592100143,0.8853904008865356,77_13,62_62
78,uci_heart_test/78/20251119-200534,nan,nan,0.7919389978213508,0.4466230936819172,0.7422984749455337,0.7869281045751635,78_21,77_34,0.8059006211180124,0.5248447204968945,0.7676397515527953,0.8057453416149067,78_21,62_62,0.8029197080291971,0.26277372262773724,0.682737226277372,0.7427007299270073,78_21,78_94,0.8866498470306396,0.51259446144104,0.8374936920404434,0.885516345500946,78_21,78_56
79,uci_heart_test/79/20251119-200547,nan,nan,0.7919389978213508,0.4466230936819172,0.708736383442266,0.7868191721132897,79_16,78_48,0.8059006211180124,0.5248447204968945,0.7378416149068323,0.8055900621118013,79_16,62_62,0.8065693430656934,0.26277372262773724,0.6403284671532847,0.7427007299270073,79_16,79_14,0.8866498470306396,0.51259446144104,0.7994710195064545,0.8856422901153564,79_16,78_56
80,uci_heart_test/80/20251119-200559,nan,nan,0.7919389978213508,0.4466230936819172,0.7183769063180827,0.7866013071895425,80_15,78_48,0.8059006211180124,0.5248447204968945,0.7475155279503107,0.8055900621118013,80_15,79_37,0.8065693430656934,0.26277372262773724,0.6498905109489053,0.7419708029197081,80_15,80_73,0.8866498470306396,0.51259446144104,0.8124307185411453,0.8856422901153564,80_15,78_56
81,uci_heart_test/81/20251119-200612,nan,nan,0.8006535947712419,0.4466230936819172,0.7267102396514161,0.7866013071895424,81_12,81_23,0.8059006211180124,0.5248447204968945,0.7540372670807455,0.8055900621118013,81_12,79_21,0.8102189781021898,0.26277372262773724,0.6624817518248173,0.7419708029197081,81_12,81_23,0.8866498470306396,0.51259446144104,0.8202644693851471,0.8856422901153564,81_12,78_56
82,uci_heart_test/82/20251119-200624,nan,nan,0.8006535947712419,0.0,0.7006318082788668,0.7871459694989106,82_13,82_32,0.8059006211180124,0.0,0.7323136645962731,0.8055900621118013,82_13,79_37,0.8102189781021898,0.0,0.6261678832116789,0.7437956204379562,82_13,82_32,0.8866498470306396,0.0,0.795037772655487,0.8856422901153564,82_13,78_56
