generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
47,uci_wine_test/47/20251012-213932,nan,nan,0.9325842696629213,0.2696629213483146,0.8269662921348315,0.9269662921348315,47_13,47_18,0.9269663095474243,0.28651684522628784,0.828314616382122,0.9269663095474243,47_13,32_57
48,uci_wine_test/48/20251012-213933,nan,nan,0.9269662921348315,0.2696629213483146,0.8546067415730337,0.9269662921348315,48_30,32_57,0.9269663095474243,0.28651684522628784,0.8557303482294083,0.9269663095474243,48_30,32_57
49,uci_wine_test/49/20251012-213935,nan,nan,0.9269662921348315,0.2696629213483146,0.8341011235955058,0.9269662921348315,49_11,32_57,0.9269663095474243,0.28651684522628784,0.8353932690620423,0.9269663095474243,49_11,32_57
50,uci_wine_test/50/20251012-213938,nan,nan,0.9269662921348315,0.2696629213483146,0.8398876404494383,0.9269662921348315,50_21,32_57,0.9269663095474243,0.28651684522628784,0.8414045053720475,0.9269663095474243,50_21,32_57
51,uci_wine_test/51/20251012-213941,nan,nan,0.9325842696629213,0.2696629213483146,0.8492696629213485,0.9269662921348315,51_61,51_82,0.9269663095474243,0.28651684522628784,0.8501123702526092,0.9269663095474243,51_61,32_57
52,uci_wine_test/52/20251012-213943,nan,nan,0.9325842696629213,0.2696629213483146,0.8461235955056181,0.9269662921348315,52_23,52_62,0.9269663095474243,0.28651684522628784,0.8466854056715966,0.9269663095474243,52_23,32_57
53,uci_wine_test/53/20251012-213945,nan,nan,0.9325842696629213,0.2696629213483146,0.7826404494382024,0.9269662921348315,53_20,53_55,0.9269663095474243,0.28651684522628784,0.7850000092387199,0.9269663095474243,53_20,32_57
54,uci_wine_test/54/20251012-213947,nan,nan,0.9325842696629213,0.2696629213483146,0.8076404494382022,0.9269662921348315,54_15,54_69,0.9269663095474243,0.28651684522628784,0.8093820288777351,0.9269663095474243,54_15,32_57
55,uci_wine_test/55/20251012-213949,nan,nan,0.9325842696629213,0.2696629213483146,0.8167415730337081,0.9269662921348315,55_77,55_19,0.9269663095474243,0.28651684522628784,0.8175842782855034,0.9269663095474243,55_77,32_57
56,uci_wine_test/56/20251012-213951,nan,nan,0.9269662921348315,0.2696629213483146,0.8099438202247191,0.9269662921348315,56_21,32_57,0.9269663095474243,0.28651684522628784,0.8120224812626838,0.9269663095474243,56_21,32_57
57,uci_wine_test/57/20251012-213953,nan,nan,0.9325842696629213,0.2696629213483146,0.8071910112359553,0.9269662921348315,57_20,57_40,0.9269663095474243,0.28651684522628784,0.8087640523910522,0.9269663095474243,57_20,32_57
58,uci_wine_test/58/20251012-213956,nan,nan,0.9325842696629213,0.2696629213483146,0.8169101123595506,0.9269662921348315,58_51,58_63,0.9269663095474243,0.28651684522628784,0.8178089964389801,0.9269663095474243,58_51,32_57
59,uci_wine_test/59/20251012-213958,nan,nan,0.9269662921348315,0.2696629213483146,0.8172471910112361,0.9269662921348315,59_18,32_57,0.9269663095474243,0.28651684522628784,0.819157311618328,0.9269663095474243,59_18,32_57
60,uci_wine_test/60/20251012-214000,nan,nan,0.9325842696629213,0.2696629213483146,0.8110112359550563,0.9269662921348315,60_28,60_55,0.9269663095474243,0.28651684522628784,0.812696638405323,0.9269663095474243,60_28,32_57
61,uci_wine_test/61/20251012-214003,nan,nan,0.9325842696629213,0.2696629213483146,0.8261797752808988,0.9269662921348315,61_15,61_28,0.9269663095474243,0.28651684522628784,0.8282584375143052,0.9269663095474243,61_15,32_57
62,uci_wine_test/62/20251012-214007,nan,nan,0.9269662921348315,0.2696629213483146,0.8491573033707865,0.9269662921348315,62_40,32_57,0.9269663095474243,0.28651684522628784,0.850056192278862,0.9269663095474243,62_40,32_57
63,uci_wine_test/63/20251012-214011,nan,nan,0.9325842696629213,0.2696629213483146,0.804550561797753,0.9269662921348315,63_13,63_59,0.9269663095474243,0.28651684522628784,0.8072471997141838,0.9269663095474243,63_13,32_57
64,uci_wine_test/64/20251012-214013,nan,nan,0.9325842696629213,0.2696629213483146,0.8051123595505619,0.9275280898876405,64_14,64_24,0.932584285736084,0.28651684522628784,0.806404504776001,0.9275281071662903,64_14,64_67
65,uci_wine_test/65/20251012-214016,nan,nan,0.9325842696629213,0.2696629213483146,0.823426966292135,0.9292134831460676,65_12,64_67,0.932584285736084,0.28651684522628784,0.8248876523971558,0.9292135000228882,65_12,64_67
66,uci_wine_test/66/20251012-214019,nan,nan,0.9325842696629213,0.2696629213483146,0.8344943820224722,0.9314606741573034,66_13,64_67,0.932584285736084,0.28651684522628784,0.8360112464427948,0.931460690498352,66_13,64_67
