generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
23,uci_wine_test/23/20251012-220423,nan,nan,0.9213483146067416,0.398876404494382,0.805674157303371,0.9174157303370786,23_52,22_88,0.9213483146067416,0.398876404494382,0.805674157303371,0.9174157303370786,23_52,22_88
24,uci_wine_test/24/20251012-220424,nan,nan,0.9269662921348315,0.43258426966292135,0.8342696629213485,0.9191011235955056,24_14,24_13,0.9269662921348315,0.43258426966292135,0.8342696629213485,0.9191011235955056,24_14,24_13
25,uci_wine_test/25/20251012-220426,nan,nan,0.9438202247191011,0.43258426966292135,0.8339887640449439,0.9292134831460676,25_28,25_42,0.9438202247191011,0.43258426966292135,0.8339887640449439,0.9292134831460676,25_28,25_42
26,uci_wine_test/26/20251012-220427,nan,nan,0.9438202247191011,0.398876404494382,0.8485393258426968,0.9297752808988765,26_53,25_42,0.9438202247191011,0.398876404494382,0.8485393258426968,0.9297752808988765,26_53,25_42
27,uci_wine_test/27/20251012-220429,nan,nan,0.9550561797752809,0.398876404494382,0.8380898876404496,0.9449438202247192,27_31,27_81,0.9550561797752809,0.398876404494382,0.8380898876404496,0.9449438202247192,27_31,27_81
28,uci_wine_test/28/20251012-220430,nan,nan,0.9550561797752809,0.2696629213483146,0.853932584269663,0.9528089887640452,28_21,27_81,0.9550561797752809,0.2696629213483146,0.853932584269663,0.9528089887640452,28_21,27_81
29,uci_wine_test/29/20251012-220432,nan,nan,0.9550561797752809,0.38764044943820225,0.8464044943820227,0.955056179775281,29_11,27_81,0.9550561797752809,0.38764044943820225,0.8464044943820227,0.955056179775281,29_11,27_81
30,uci_wine_test/30/20251012-220433,nan,nan,0.9550561797752809,0.38764044943820225,0.848370786516854,0.955056179775281,30_30,27_81,0.9550561797752809,0.38764044943820225,0.848370786516854,0.955056179775281,30_30,27_81
31,uci_wine_test/31/20251012-220435,nan,nan,0.9550561797752809,0.38764044943820225,0.861741573033708,0.955056179775281,31_41,27_81,0.9550561797752809,0.38764044943820225,0.861741573033708,0.955056179775281,31_41,27_81
32,uci_wine_test/32/20251012-220436,nan,nan,0.9550561797752809,0.38764044943820225,0.8739325842696631,0.955056179775281,32_93,27_81,0.9550561797752809,0.38764044943820225,0.8739325842696631,0.955056179775281,32_93,27_81
