generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
171,uci_cancer_test/171/20251105-232918,nan,nan,0.9121265377855887,0.37258347978910367,0.8499472759226715,0.9086115992970123,171_21,171_35,0.9027777777777778,0.2638888888888889,0.8116666666666665,0.888888888888889,171_11,171_35,0.9134808853118712,0.3199195171026157,0.8554929577464786,0.9114688128772637,171_21,171_35,0.9504504799842834,0.28378379344940186,0.8622973138093948,0.9504504799842834,171_11,154_75
172,uci_cancer_test/172/20251105-232939,nan,nan,0.9086115992970123,0.37082601054481545,0.8295430579964852,0.9086115992970123,172_99,154_75,0.9027777777777778,0.2638888888888889,0.7636111111111111,0.888888888888889,172_16,172_75,0.9114688128772636,0.317907444668008,0.8390945674044265,0.9114688128772637,172_99,154_75,0.9504504799842834,0.28378379344940186,0.8124774926900864,0.9504504799842834,172_16,154_75
173,uci_cancer_test/173/20251105-233002,nan,nan,0.9086115992970123,0.37258347978910367,0.8208611599297013,0.9086115992970123,173_26,154_75,0.8888888888888888,0.2638888888888889,0.7637500000000002,0.888888888888889,173_19,154_75,0.9114688128772636,0.3199195171026157,0.8291348088531187,0.9114688128772637,173_26,154_75,0.954954981803894,0.28378379344940186,0.8131982135772705,0.9509009301662446,173_19,173_90
174,uci_cancer_test/174/20251105-233018,nan,nan,0.9121265377855887,0.37258347978910367,0.8493497363796136,0.9072056239015817,174_12,174_45,0.9027777777777778,0.2638888888888889,0.8115277777777778,0.8916666666666668,174_21,174_22,0.9134808853118712,0.3199195171026157,0.8548289738430583,0.9094567404426558,174_12,174_45,0.954954981803894,0.28378379344940186,0.8610811004042626,0.9513513803482055,174_21,173_90
175,uci_cancer_test/175/20251105-233034,nan,nan,0.9086115992970123,0.37258347978910367,0.8005799648506152,0.906854130052724,175_14,173_90,0.9027777777777778,0.2638888888888889,0.7133333333333333,0.8916666666666666,175_15,174_22,0.9114688128772636,0.3199195171026157,0.8132193158953723,0.9090543259557343,175_14,173_90,0.954954981803894,0.28378379344940186,0.7596396538615227,0.9531531810760498,175_15,173_90
176,uci_cancer_test/176/20251105-233049,nan,nan,0.9086115992970123,0.37258347978910367,0.824235500878735,0.906854130052724,176_16,173_90,0.9027777777777778,0.2638888888888889,0.7523611111111111,0.8902777777777778,176_15,175_13,0.9175050301810865,0.3199195171026157,0.8346478873239436,0.9092555331991952,176_16,176_89,0.954954981803894,0.28378379344940186,0.804819832444191,0.954054081439972,176_15,173_90
177,uci_cancer_test/177/20251105-233104,nan,nan,0.9103690685413005,0.37258347978910367,0.8446397188049211,0.9086115992970123,177_44,177_30,0.9027777777777778,0.2638888888888889,0.7884722222222222,0.888888888888889,177_16,175_13,0.9235412474849095,0.3199195171026157,0.8527766599597584,0.9114688128772637,177_44,177_30,0.954954981803894,0.28378379344940186,0.8445045194029808,0.954954981803894,177_16,173_90
178,uci_cancer_test/178/20251105-233123,nan,nan,0.9086115992970123,0.37258347978910367,0.842688927943761,0.9086115992970123,178_83,173_90,0.8888888888888888,0.2638888888888889,0.7736111111111111,0.888888888888889,178_12,173_90,0.9215291750503019,0.3199195171026157,0.852696177062374,0.9114688128772637,178_83,178_28,0.954954981803894,0.28378379344940186,0.8286486622691155,0.954954981803894,178_12,173_90
179,uci_cancer_test/179/20251105-233145,nan,nan,0.9103690685413005,0.37258347978910367,0.8328471001757471,0.9086115992970123,179_21,179_73,0.9027777777777778,0.2638888888888889,0.7818055555555555,0.888888888888889,179_28,179_27,0.9235412474849095,0.3199195171026157,0.8402414486921528,0.9114688128772637,179_21,179_73,0.954954981803894,0.28378379344940186,0.834909924864769,0.954954981803894,179_28,173_90
180,uci_cancer_test/180/20251105-233210,nan,nan,0.9121265377855887,0.37258347978910367,0.8562038664323376,0.9086115992970123,180_34,180_70,0.9027777777777778,0.2638888888888889,0.7929166666666667,0.888888888888889,180_14,180_70,0.9235412474849095,0.3199195171026157,0.8653722334004023,0.9114688128772637,180_34,180_13,0.954954981803894,0.28378379344940186,0.8493243423104286,0.954954981803894,180_14,173_90
181,uci_cancer_test/181/20251105-233239,nan,nan,0.9103690685413005,0.37258347978910367,0.8349209138840072,0.9086115992970123,181_51,181_64,0.9027777777777778,0.2638888888888889,0.7731944444444443,0.888888888888889,181_20,181_17,0.9235412474849095,0.3199195171026157,0.8438631790744466,0.9114688128772637,181_51,181_64,0.954954981803894,0.28378379344940186,0.8309009146690368,0.954954981803894,181_20,173_90
182,uci_cancer_test/182/20251105-233305,nan,nan,0.9103690685413005,0.37258347978910367,0.8117223198594027,0.9086115992970123,182_35,182_51,0.8888888888888888,0.2638888888888889,0.74625,0.888888888888889,182_11,173_90,0.9235412474849095,0.3199195171026157,0.8212072434607645,0.9114688128772637,182_35,182_51,0.954954981803894,0.28378379344940186,0.7987837973237037,0.954954981803894,182_11,173_90
183,uci_cancer_test/183/20251105-233341,nan,nan,0.9103690685413005,0.37258347978910367,0.825377855887522,0.9086115992970123,183_24,183_93,0.8888888888888888,0.2638888888888889,0.7556944444444446,0.888888888888889,183_11,173_90,0.9235412474849095,0.3199195171026157,0.8354728370221326,0.9114688128772637,183_24,183_93,0.954954981803894,0.28378379344940186,0.8076126274466514,0.954954981803894,183_11,173_90
184,uci_cancer_test/184/20251105-233403,nan,nan,0.9086115992970123,0.37258347978910367,0.8316168717047454,0.9086115992970123,184_17,173_90,0.9027777777777778,0.2638888888888889,0.7683333333333333,0.888888888888889,184_19,184_48,0.9114688128772636,0.3199195171026157,0.8407847082494968,0.9114688128772637,184_17,173_90,0.954954981803894,0.28378379344940186,0.8252252388000488,0.954954981803894,184_19,173_90
185,uci_cancer_test/185/20251105-233423,nan,nan,0.9086115992970123,0.37258347978910367,0.8540421792618631,0.9086115992970123,185_12,173_90,0.8888888888888888,0.2638888888888889,0.8118055555555556,0.888888888888889,185_30,173_90,0.9114688128772636,0.3199195171026157,0.8601609657947685,0.9114688128772637,185_12,173_90,0.954954981803894,0.28378379344940186,0.8659459614753723,0.954954981803894,185_30,173_90
186,uci_cancer_test/186/20251105-233439,nan,nan,0.9086115992970123,0.37258347978910367,0.843919156414763,0.9086115992970123,186_37,173_90,0.8888888888888888,0.2638888888888889,0.7677777777777777,0.888888888888889,186_14,173_90,0.9114688128772636,0.3199195171026157,0.8549496981891348,0.9114688128772637,186_37,173_90,0.954954981803894,0.28378379344940186,0.8202702876925468,0.954954981803894,186_14,173_90
187,uci_cancer_test/187/20251105-233501,nan,nan,0.9086115992970123,0.37258347978910367,0.8615289982425309,0.9086115992970123,187_28,173_90,0.8888888888888888,0.2638888888888889,0.8041666666666666,0.888888888888889,187_14,173_90,0.9215291750503019,0.3199195171026157,0.8698390342052313,0.9114688128772637,187_28,187_57,0.954954981803894,0.28378379344940186,0.8629279464483262,0.954954981803894,187_14,173_90
